TIMESTAMP,FORECAST,POWER
20131101 1:00,,0.38573817440049996
20131101 2:00,,0.3830262301864
20131101 3:00,,0.38437233564650003
20131101 4:00,,0.3840755095074
20131101 5:00,,0.3894318140981
20131101 6:00,,0.3942271845018
20131101 7:00,,0.367873081485
20131101 8:00,,0.19393406958690002
20131101 9:00,,0.1138708170087
20131101 10:00,,0.054218477049406535
20131101 11:00,,0.05421847704940654
20131101 12:00,,0.055049629775906536
20131101 13:00,,0.05666191905360654
20131101 14:00,,0.054218477049406535
20131101 15:00,,0.05421847704940654
20131101 16:00,,0.055509579094806534
20131101 17:00,,0.059047652851806534
20131101 18:00,,0.06299403328380654
20131101 19:00,,0.057468423133206534
20131101 20:00,,0.05421847704940654
20131101 21:00,,0.05421847704940654
20131101 22:00,,0.05838262463560654
20131101 23:00,,0.0908024603707
20131102 0:00,,0.1638565741715
20131102 1:00,,0.4655443819416
20131102 2:00,,0.52677067503
20131102 3:00,,0.5980201017225
20131102 4:00,,0.6749018933545001
20131102 5:00,,0.7015264979692
20131102 6:00,,0.6572136138174
20131102 7:00,,0.5990945760407
20131102 8:00,,0.5730076291298001
20131102 9:00,,0.5732200567924001
20131102 10:00,,0.502436370009
20131102 11:00,,0.4472390909743
20131102 12:00,,0.3667563710867
20131102 13:00,,0.5100505104060999
20131102 14:00,,0.6219344559862
20131102 15:00,,0.3502659951109
20131102 16:00,,0.3928241885635
20131102 17:00,,0.5270254286332999
20131102 18:00,,0.5959005769032999
20131102 19:00,,0.5171674436575999
20131102 20:00,,0.4151421048852
20131102 21:00,,0.4779377808132
20131102 22:00,,0.5795374968559001
20131102 23:00,,0.5712309676154
20131103 0:00,,0.5543539951845
20131103 1:00,,0.4786798461592
20131103 2:00,,0.4853772869415
20131103 3:00,,0.6427517235179
20131103 4:00,,0.6797969546388999
20131103 5:00,,0.6557076471016
20131103 6:00,,0.6554316415661001
20131103 7:00,,0.652447780454
20131103 8:00,,0.6473902070378
20131103 9:00,,0.5882168847279
20131103 10:00,,0.4966191905396
20131103 11:00,,0.4077318212872
20131103 12:00,,0.5952946407397001
20131103 13:00,,0.6009542611701
20131103 14:00,,0.6408759282553
20131103 15:00,,0.6975236035728001
20131103 16:00,,0.7497847336547001
20131103 17:00,,0.7721640712050001
20131103 18:00,,0.7921758968044
20131103 19:00,,0.8015502947409
20131103 20:00,,0.8133142778838999
20131103 21:00,,0.8336893515692
20131103 22:00,,0.8556384969987
20131103 23:00,,0.835298998958
20131104 0:00,,0.7741168406954999
20131104 1:00,,0.7246233663422
20131104 2:00,,0.6271587362062
20131104 3:00,,0.562320908667
20131104 4:00,,0.4669330811259
20131104 5:00,,0.4096331637981
20131104 6:00,,0.39754506487970004
20131104 7:00,,0.40160548686330005
20131104 8:00,,0.42070859243029995
20131104 9:00,,0.2991265671603
